Province;Comuni;Posti Letto;Popolazione residente;Superficie comunale (km2);Rapporto Comunale Ricettività;Rapporto Regionale Ricettività;Rapporto Area Rurale;Marginalità SI/NO;Area Rurale SI/NO;Isola Minore;Punteggio Lettera E;;;;;;;;;;;;;;;;
MESSINA;Falcone; 	132 ;2.812; 	9,34 ;14,137; 	8,48   ;301,17062408294;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Ficarra; 	63 ;1.283; 	18,66 ;3,377; 	8,48   ;68,7692291199897;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Fiumedinisi; 	17 ;1.283; 	36,69 ;0,463; 	8,48   ;34,9645585281638;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Floresta; 	104 ;468; 	31,33 ;3,319; 	8,48   ;14,9369965147008;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Fondachelli-Fantina; 	12 ;1.083; 	42,21 ;0,284; 	8,48   ;25,6560899455608;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Forza d'Agrò; 	550 ;847; 	11,19 ;49,155; 	8,48   ;75,6979944946913;NO;SI;;3;;;;;;;;;;;;;;;;
MESSINA;Francavilla di Sicilia; 	156 ;3.533; 	82,73 ;1,886; 	8,48   ;42,7065277042431;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Frazzanò; 	-   ;561; 	7,00 ;0,000; 	8,48   ;80,1634706067274;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Furci Siculo; 	180 ;3.193; 	17,91 ;10,048; 	8,48   ;178,245457336646;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Furnari; 	1.730 ;4.178; 	13,55 ;127,633; 	8,48   ;308,237116824671;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Gaggi; 	104 ;3.088; 	7,65 ;13,594; 	8,48   ;403,628473583771;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Galati Mamertino; 	89 ;2.206; 	39,31 ;2,264; 	8,48   ;56,1161803349164;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Gallodoro; 	-   ;323; 	6,91 ;0,000; 	8,48   ;46,7546754675468;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Giardini-Naxos; 	7.664 ;9.363; 	5,29 ;1448,634; 	8,48   ;1769,7760136093;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Gioiosa Marea; 	3.677 ;6.767; 	26,48 ;138,845; 	8,48   ;255,525305199243;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Graniti; 	96 ;1.453; 	10,05 ;9,555; 	8,48   ;144,613087832794;NO;SI;;3;;;;;;;;;;;;;;;;
MESSINA;Gualtieri Sicaminò; 	2 ;1.555; 	14,38 ;0,139; 	8,48   ;108,106229143493;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Itala; 	56 ;1.479; 	10,98 ;5,099; 	8,48   ;134,655304271823;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Leni; 	190 ;677; 	8,79 ;21,615; 	8,48   ;77,0193401592719;NO;SI;SI;6;;;;;;;;;;;;;;;;
MESSINA;Letojanni; 	2.703 ;2.910; 	6,72 ;401,981; 	8,48   ;432,765236013206;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Librizzi; 	55 ;1.566; 	23,39 ;2,352; 	8,48   ;66,9611360303078;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Limina; 	-   ;725; 	9,99 ;0,000; 	8,48   ;72,5544158118589;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Lipari; 	6.185 ;12.676; 	89,72 ;68,935; 	8,48   ;141,280057956477;NO;SI;SI;6;;;;;;;;;;;;;;;;
MESSINA;Longi; 	73 ;1.290; 	42,11 ;1,734; 	8,48   ;30,6336899348144;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Malfa; 	407 ;1.004; 	8,74 ;46,593; 	8,48   ;114,935949538081;NO;SI;SI;6;;;;;;;;;;;;;;;;
MESSINA;Malvagna; 	23 ;608; 	6,71 ;3,428; 	8,48   ;90,6177807586258;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Mandanici; 	-   ;493; 	11,85 ;0,000; 	8,48   ;41,590038637399;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Mazzarrà Sant'Andrea; 	-   ;1.390; 	6,69 ;0,000; 	8,48   ;207,639334956605;SI;NO;;3;;;;;;;;;;;;;;;;
MESSINA;Merì; 	8 ;2.309; 	1,85 ;4,324; 	8,48   ;1247,90574501432;SI;NO;;3;;;;;;;;;;;;;;;;
MESSINA;Messina; 	2.494 ;217.959; 	213,75 ;11,668; 	8,48   ;1019,67357758018;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Milazzo; 	2.133 ;30.028; 	24,70 ;86,347; 	8,48   ;1215,58054617733;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Militello Rosmarino; 	-   ;1.147; 	29,54 ;0,000; 	8,48   ;38,8339653304442;SI;SI;;6;;;;;;;;;;;;;;;;
